Pallet name,YOLO F1,Precision,Recall,F1 (final)
pallet_24762,0.9701,0.942,1.0,0.9701
pallet_24764,0.9744,0.95,1.0,0.9744
pallet_24766,0.9912,0.9825,1.0,0.9912
pallet_24767,0.9538,0.9248,0.8638,0.8933
pallet_24768,0.9334,0.9748,0.8578,0.9126
pallet_24770,0.9829,0.9983,0.9664,0.9821
pallet_24771,0.9895,1.0,0.9792,0.9895
pallet_24772,0.9448,0.9874,0.9058,0.9448
pallet_24773,0.9777,0.5688,0.5688,0.5688
pallet_24774,0.8782,0.6534,0.5605,0.6034
pallet_24775,0.9804,0.9804,0.9804,0.9804
pallet_24776,0.9866,0.9932,0.98,0.9866
pallet_24777,0.9962,1.0,0.9925,0.9962
pallet_24778,0.98,0.9813,0.9787,0.98
pallet_24779,0.9611,0.9671,0.9553,0.9611
pallet_24780,0.9961,0.9769,0.9845,0.9807
pallet_24787,0.9963,0.9927,1.0,0.9963
pallet_24788,0.9963,0.9927,1.0,0.9963
pallet_24789,1.0,1.0,1.0,1.0
pallet_24791,0.9886,0.9704,0.9929,0.9815
