epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2312,1.78113,3.36964,1.65756,0.71934,0.72449,0.77566,0.3012,1.83833,1.9279,1.65168,0.000663492,0.000663492,0.000663492
2,89.2086,1.69678,1.38352,1.4712,0.89336,0.64115,0.703,0.32835,1.93169,1.30607,1.63996,0.00131699,0.00131699,0.00131699
3,129.276,1.58993,1.16522,1.38156,0.86862,0.67783,0.77572,0.36703,1.82039,0.98945,1.50463,0.00195729,0.00195729,0.00195729
4,169.736,1.54157,1.00266,1.33898,0.90308,0.86579,0.93283,0.41274,1.63753,0.90446,1.41,0.0019406,0.0019406,0.0019406
5,209.536,1.46942,0.91193,1.29631,0.91674,0.7241,0.82679,0.44127,1.69918,0.80738,1.42888,0.0019208,0.0019208,0.0019208
6,249.56,1.4212,0.86783,1.26744,0.90172,0.90922,0.94708,0.50073,1.56272,0.72049,1.31519,0.001901,0.001901,0.001901
7,289.629,1.34768,0.77936,1.22356,0.905,0.87497,0.93638,0.48524,1.58495,0.77288,1.36564,0.0018812,0.0018812,0.0018812
8,329.315,1.34101,0.76496,1.22348,0.86171,0.87845,0.92822,0.47987,1.56922,0.70732,1.35801,0.0018614,0.0018614,0.0018614
9,369.032,1.30161,0.72633,1.19792,0.95996,0.74867,0.89741,0.4803,1.57617,0.65725,1.35028,0.0018416,0.0018416,0.0018416
10,408.799,1.26993,0.69637,1.17775,0.91871,0.95123,0.9704,0.52293,1.56608,0.6736,1.30203,0.0018218,0.0018218,0.0018218
11,448.909,1.26378,0.68091,1.1788,0.8742,0.9256,0.95529,0.50479,1.56279,0.676,1.37549,0.001802,0.001802,0.001802
12,488.979,1.23042,0.63819,1.16821,0.86028,0.94553,0.95332,0.53016,1.50681,0.62076,1.31053,0.0017822,0.0017822,0.0017822
13,528.532,1.21611,0.62365,1.14692,0.89378,0.94358,0.96017,0.53586,1.50688,0.63114,1.3101,0.0017624,0.0017624,0.0017624
14,568.048,1.21622,0.59835,1.16375,0.92045,0.97152,0.97807,0.5677,1.43572,0.58045,1.27129,0.0017426,0.0017426,0.0017426
15,607.28,1.19719,0.60573,1.14988,0.96597,0.94983,0.98494,0.57373,1.43631,0.59491,1.30787,0.0017228,0.0017228,0.0017228
16,646.907,1.18025,0.58994,1.14381,0.91427,0.9587,0.97057,0.56307,1.4395,0.62427,1.28734,0.001703,0.001703,0.001703
17,686.23,1.14583,0.57744,1.1331,0.93227,0.94268,0.97008,0.54572,1.45553,0.57834,1.31626,0.0016832,0.0016832,0.0016832
18,725.665,1.12913,0.55644,1.11679,0.94951,0.95733,0.98282,0.57111,1.41108,0.57197,1.26947,0.0016634,0.0016634,0.0016634
19,764.985,1.11779,0.55247,1.10967,0.9294,0.96068,0.97557,0.58105,1.41376,0.60078,1.27023,0.0016436,0.0016436,0.0016436
20,804.717,1.11853,0.54119,1.11358,0.95966,0.95799,0.97894,0.57379,1.44866,0.54907,1.30088,0.0016238,0.0016238,0.0016238
21,844.32,1.09924,0.52695,1.1012,0.95185,0.97223,0.98208,0.57698,1.44556,0.54178,1.27514,0.001604,0.001604,0.001604
22,883.935,1.10073,0.53592,1.10419,0.94477,0.96211,0.97823,0.5872,1.43413,0.54187,1.29011,0.0015842,0.0015842,0.0015842
23,923.549,1.08896,0.52473,1.10013,0.93768,0.97494,0.9838,0.58531,1.42021,0.54805,1.28306,0.0015644,0.0015644,0.0015644
24,963.018,1.07361,0.50545,1.09669,0.93729,0.94173,0.9757,0.56338,1.47774,0.56814,1.31377,0.0015446,0.0015446,0.0015446
